river_station,rain_i,rain_j
05AH050,79,120
05HD036,79,126
05HG021,74,133
05JA003,79,133
05JA005,79,133
05JA006,79,133
05JB004,79,127
05JB007,79,130
05JC004,79,130
05JF011,78,140
05JG013,76,135
05JJ009,74,140
05JM010,78,149
05KE010,65,142
05KH007,66,152
05LC001,69,151
05MA020,72,143
05MA021,73,143
05MC001,72,150
05MC003,72,149
05MD010,74,153
05ME007,77,154
05NB033,79,145
05NB035,79,146
05ND011,79,151
05ND013,79,151
05NE003,79,153
05NF010,79,153
06AF001,62,121
06AG002,60,129
06BA002,57,122
06BB005,58,128
06BD001,55,134
06CD002,57,141
06DA004,50,143
06DA005,50,140
06DC001,52,145
06DD003,56,147
06HB002,37,165
06JB001,26,139
06JC002,22,155
06KC003,23,162
06LC001,25,177
06MA006,21,172
06OA007,16,196
07LB002,46,142
07LE002,43,138
07MA003,47,121
07MB001,44,127
07OB001,37,97
07OB008,40,92
07QC005,40,125
07QC006,41,127
07QC007,38,117
07QC008,41,125
07RD001,28,126
07SA002,24,98
07SA004,22,100
07SA008,23,100
07SB010,30,106
07SB013,30,102
07SC001,32,107
07SC002,28,118
07SC004,28,123
07SC005,28,119
07TA001,28,92
07UC001,36,90
10EA003,34,58
10EB001,33,57
10EC003,34,61
10ED001,39,66
10ED002,33,75
10ED003,35,72
10ED007,36,68
10ED009,34,74
10FA002,35,81
10FB005,34,75
10GA001,30,66
10GB006,29,68
10GC003,32,74
10HA004,23,47
10HB005,24,59
10HC008,26,66
10JA002,18,89
10JC003,19,66
10KA006,20,56
10KA007,19,52
10KA008,18,51
10KA009,19,54
10KB001,19,49
10KC001,19,46
10KD009,17,47
10LA002,13,28
10LB004,14,45
10LB005,9,32
10LB006,10,36
10LB007,13,43
10LC003,9,25
10LC007,8,26
10LD004,14,47
10MC002,11,20
10MC007,9,17
10NC001,5,46
10ND002,5,26
10ND004,5,26
10OB001,3,67
10PA001,22,112
10PA002,21,113
10PB001,18,104
10PC004,11,96
10PC005,15,104
10QA001,9,112
10QC001,13,125
10QD001,9,143
10RA001,19,136
10RA002,20,142
10RC001,16,174
10RC002,18,176
10TA001,0,66
10TF001,3,140
10UH001,21,219
10UH002,21,219
10UH012,21,219
10VC002,0,181
11AB075,79,123
11AB117,79,120
11AC025,79,129
